id,district,year,treat,soda
167,"City Hall",2020,0,495.7354
168,"City Hall",2020,0,496.6377
169,"City Hall",2020,0,497.3278
170,"City Hall",2020,0,505.0993
171,"City Hall",2020,0,501.1294
172,"City Hall",2020,0,504.3521
173,"City Hall",2020,0,486.7624
174,"City Hall",2020,0,503.6551
175,"City Hall",2020,0,485.7154
176,"City Hall",2020,0,496.4723
177,"City Hall",2020,0,499.3539
178,"City Hall",2020,0,497.9805
179,"City Hall",2020,0,508.478
180,"City Hall",2020,0,487.9586
181,"City Hall",2020,0,502.166
182,"City Hall",2020,0,493.378
183,"City Hall",2020,0,493.9312
184,"City Hall",2020,0,498.8337
185,"City Hall",2020,0,501.3139
186,"City Hall",2020,0,496.1543
187,"City Hall",2020,0,480.2464
188,"City Hall",2020,0,514.4662
189,"City Hall",2020,0,498.4716
190,"City Hall",2020,0,494.4625
191,"City Hall",2020,0,483.4443
192,"City Hall",2020,0,527.9486
193,"City Hall",2020,0,482.641
194,"City Hall",2020,0,504.8286
195,"City Hall",2020,0,514.9586
196,"City Hall",2020,0,517.7561
197,"City Hall",2020,0,515.3304
198,"City Hall",2020,0,508.0771
199,"City Hall",2020,0,507.2536
200,"City Hall",2020,0,509.0611
201,"City Hall",2020,0,473.1412
202,"City Hall",2020,0,487.221
203,"City Hall",2020,0,494.7604
204,"City Hall",2020,0,508.6987
205,"City Hall",2020,0,510.4012
206,"City Hall",2020,0,484.3138
207,"City Hall",2020,0,502.4095
208,"City Hall",2020,0,488.1102
209,"City Hall",2020,0,498.9772
210,"City Hall",2020,0,493.2166
211,"City Hall",2020,0,479.9347
212,"City Hall",2020,0,496.1677
213,"City Hall",2020,0,486.6723
214,"City Hall",2020,0,494.6383
215,"City Hall",2020,0,515.3597
216,"City Hall",2020,0,510.8904
217,"City Hall",2020,0,485.5388
218,"City Hall",2020,0,493.3395
219,"City Hall",2020,0,507.2624
220,"City Hall",2020,0,492.8021
221,"City Hall",2020,0,514.2866
222,"City Hall",2020,0,481.3879
223,"City Hall",2020,0,511.5813
224,"City Hall",2020,0,502.3476
225,"City Hall",2020,0,501.9949
226,"City Hall",2020,0,514.4465
227,"City Hall",2020,0,502.568
228,"City Hall",2020,0,495.2075
229,"City Hall",2020,0,502.5508
230,"City Hall",2020,0,505.5604
231,"City Hall",2020,0,482.0174
232,"City Hall",2020,0,487.2704
233,"City Hall",2020,0,501.7555
234,"City Hall",2020,0,486.9045
235,"City Hall",2020,0,492.4514
236,"City Hall",2020,0,511.8987
237,"City Hall",2020,0,505.4042
238,"City Hall",2020,0,518.461
239,"City Hall",2020,0,512.0223
240,"City Hall",2020,0,513.5328
241,"City Hall",2020,0,499.4002
242,"City Hall",2020,0,498.8324
243,"City Hall",2020,0,504.1984
244,"City Hall",2020,0,488.111
245,"City Hall",2020,0,481.6377
246,"City Hall",2020,0,504.022
247,"City Hall",2020,0,518.5339
248,"City Hall",2020,0,488.174
249,"City Hall",2020,0,502.834
250,"City Hall",2020,0,502.9386
251,"City Hall",2020,0,479.0317
252,"City Hall",2020,0,499.4734
253,"City Hall",2020,0,498.4089
254,"City Hall",2020,0,512.7447
255,"City Hall",2020,0,513.7471
256,"City Hall",2020,0,506.7201
257,"City Hall",2020,0,501.5989
258,"City Hall",2020,0,502.8564
259,"City Hall",2020,0,477.718
260,"City Hall",2020,0,521.2187
261,"City Hall",2020,0,500.5601
262,"City Hall",2020,0,509.9251
263,"City Hall",2020,0,499.618
264,"City Hall",2020,0,521.6461
265,"City Hall",2020,0,507.3446
266,"City Hall",2020,0,489.5775
267,"City Hall",2020,0,505.4844
268,"City Hall",2020,0,502.1512
269,"City Hall",2020,0,519.5699
270,"City Hall",2020,0,510.0836
271,"City Hall",2020,0,499.8186
272,"City Hall",2020,0,477.3148
273,"City Hall",2020,0,497.5256
274,"City Hall",2020,0,484.0654
275,"City Hall",2020,0,494.8554
276,"City Hall",2020,0,481.5313
277,"City Hall",2020,0,499.7992
278,"City Hall",2020,0,493.7492
279,"City Hall",2020,0,521.0921
280,"City Hall",2020,0,493.7101
281,"City Hall",2020,0,493.1816
282,"City Hall",2020,0,497.086
283,"City Hall",2020,0,506.2552
284,"City Hall",2020,0,499.3297
285,"City Hall",2020,0,510.6169
286,"City Hall",2020,0,488.5782
287,"City Hall",2020,0,479.7123
288,"City Hall",2020,0,487.8753
289,"City Hall",2020,0,490.0553
290,"City Hall",2020,0,505.6975
291,"City Hall",2020,0,502.6716
292,"City Hall",2020,0,522.5115
293,"City Hall",2020,0,510.5995
294,"City Hall",2020,0,508.5581
295,"City Hall",2020,0,496.371
296,"City Hall",2020,0,495.6506
297,"City Hall",2020,0,491.278
298,"City Hall",2020,0,483.4834
299,"City Hall",2020,0,495.8181
300,"City Hall",2020,0,501.4244
301,"City Hall",2020,0,483.9082
302,"City Hall",2020,0,499.0546
303,"City Hall",2020,0,495.6869
304,"City Hall",2020,0,496.9014
305,"City Hall",2020,0,479.8492
306,"City Hall",2020,0,493.4654
307,"City Hall",2020,0,498.9257
308,"City Hall",2020,0,516.3013
309,"City Hall",2020,0,509.5809
310,"City Hall",2020,0,495.1865
311,"City Hall",2020,0,494.4285
312,"City Hall",2020,0,492.6411
313,"City Hall",2020,0,510.1009
314,"City Hall",2020,0,526.1244
315,"City Hall",2020,0,501.7786
316,"City Hall",2020,0,503.3674
317,"City Hall",2020,0,503.9231
318,"City Hall",2020,0,502.7922
319,"City Hall",2020,0,496.1949
320,"City Hall",2020,0,506.5305
321,"City Hall",2020,0,493.8839
322,"City Hall",2020,0,498.8875
323,"City Hall",2020,0,484.2939
324,"City Hall",2020,0,509.243
325,"City Hall",2020,0,502.3694
326,"City Hall",2020,0,505.6549
327,"City Hall",2020,0,483.0313
328,"City Hall",2020,0,508.2997
329,"City Hall",2020,0,507.0126
330,"City Hall",2020,0,496.4618
331,"City Hall",2020,0,502.4182
332,"City Hall",2020,0,502.797
333,"City Hall",2020,0,499.5502
334,"City Hall",2020,0,495.9357
335,"City Hall",2020,0,499.7101
336,"City Hall",2020,0,513.5046
337,"City Hall",2020,0,492.2377
338,"City Hall",2020,0,505.8281
339,"City Hall",2020,0,516.2613
340,"City Hall",2020,0,499.7063
341,"City Hall",2020,0,500.2278
342,"City Hall",2020,0,501.956
343,"City Hall",2020,0,496.3183
344,"City Hall",2020,0,505.4423
345,"City Hall",2020,0,488.8788
346,"City Hall",2020,0,499.5394
347,"City Hall",2020,0,507.6106
348,"City Hall",2020,0,508.6232
349,"City Hall",2020,0,498.3674
350,"City Hall",2020,0,506.0028
351,"City Hall",2020,0,502.9138
352,"City Hall",2020,0,497.7917
353,"City Hall",2020,0,493.124
354,"City Hall",2020,0,503.2489
355,"City Hall",2020,0,495.416
356,"City Hall",2020,0,490.0972
357,"City Hall",2020,0,488.1952
358,"City Hall",2020,0,497.4971
359,"City Hall",2020,0,484.2398
360,"City Hall",2020,0,501.5091
361,"City Hall",2020,0,502.2265
362,"City Hall",2020,0,500.9221
363,"City Hall",2020,0,501.0093
364,"City Hall",2020,0,501.0009
365,"City Hall",2020,0,509.3987
366,"City Hall",2020,0,497.1516
367,"City Hall",2020,0,521.3608
368,"City Hall",2020,0,499.0287
369,"City Hall",2020,0,502.4488
370,"City Hall",2020,0,509.8154
371,"City Hall",2020,0,496.897
372,"City Hall",2020,0,492.2558
373,"City Hall",2020,0,516.2172
374,"City Hall",2020,0,500.5065
375,"City Hall",2020,0,499.5042
376,"City Hall",2020,0,506.2073
377,"City Hall",2020,0,505.6565
378,"City Hall",2020,0,485.8905
379,"City Hall",2020,0,485.1655
380,"City Hall",2020,0,501.2315
381,"City Hall",2020,0,501.3187
382,"City Hall",2020,0,494.4861
383,"City Hall",2020,0,503.9035
384,"City Hall",2020,0,507.4426
385,"City Hall",2020,0,492.7192
386,"City Hall",2020,0,505.1938
387,"City Hall",2020,0,510.4848
388,"City Hall",2020,0,498.2822
389,"City Hall",2020,0,508.4683
390,"City Hall",2020,0,493.4114
391,"City Hall",2020,0,499.8794
392,"City Hall",2020,0,497.7268
393,"City Hall",2020,0,503.844
394,"City Hall",2020,0,506.5789
395,"City Hall",2020,0,496.0012
396,"City Hall",2020,0,499.4294
397,"City Hall",2020,0,499.287
398,"City Hall",2020,0,486.534
399,"City Hall",2020,0,483.862
400,"City Hall",2020,0,500.0465
401,"City Hall",2020,0,501.9177
402,"City Hall",2020,0,499.5413
403,"City Hall",2020,0,502.2322
404,"City Hall",2020,0,505.111
405,"City Hall",2020,0,518.9298
406,"City Hall",2020,0,513.3078
407,"City Hall",2020,0,505.3228
408,"City Hall",2020,0,504.6092
409,"City Hall",2020,0,517.0014
410,"City Hall",2020,0,498.5369
411,"City Hall",2020,0,500.4109
412,"City Hall",2020,0,489.294
413,"City Hall",2020,0,498.2502
414,"City Hall",2020,0,519.2537
415,"City Hall",2020,0,472.3169
416,"City Hall",2020,0,515.7986
417,"City Hall",2020,0,491.2711
418,"City Hall",2020,0,499.5808
419,"City Hall",2020,0,503.4044
420,"City Hall",2020,0,518.7557
421,"City Hall",2020,0,488.5598
422,"City Hall",2020,0,516.174
423,"City Hall",2020,0,492.4868
424,"City Hall",2020,0,504.2087
425,"City Hall",2020,0,506.9195
426,"City Hall",2020,0,492.6646
427,"City Hall",2020,0,488.5494
428,"City Hall",2020,0,507.1309
429,"City Hall",2020,0,492.666
430,"City Hall",2020,0,484.4835
431,"City Hall",2020,0,492.1662
432,"City Hall",2020,0,492.8864
433,"City Hall",2020,0,499.679
434,"City Hall",2020,0,487.075
435,"City Hall",2020,0,508.7452
436,"City Hall",2020,0,506.4591
437,"City Hall",2020,0,506.088
438,"City Hall",2020,0,495.3221
439,"City Hall",2020,0,490.3163
440,"City Hall",2020,0,501.9075
441,"City Hall",2020,0,487.0875
442,"City Hall",2020,0,514.4198
443,"City Hall",2020,0,498.5536
444,"City Hall",2020,0,507.1157
445,"City Hall",2020,0,510.7764
446,"City Hall",2020,0,491.6626
447,"City Hall",2020,0,503.4821
448,"City Hall",2020,0,510.9212
449,"City Hall",2020,0,502.5127
450,"City Hall",2020,0,492.8976
451,"City Hall",2020,0,498.4011
452,"City Hall",2020,0,511.5592
453,"City Hall",2020,0,485.7987
454,"City Hall",2020,0,500.3697
455,"City Hall",2020,0,504.678
456,"City Hall",2020,0,485.1123
457,"City Hall",2020,0,501.8033
458,"City Hall",2020,0,498.1128
459,"City Hall",2020,0,491.5445
460,"City Hall",2020,0,517.2693
461,"City Hall",2020,0,494.0204
462,"City Hall",2020,0,499.9716
463,"City Hall",2020,0,510.3583
464,"City Hall",2020,0,502.3629
465,"City Hall",2020,0,506.0607
466,"City Hall",2020,0,512.827
467,"City Hall",2020,0,497.4996
468,"City Hall",2020,0,495.1724
469,"City Hall",2020,0,485.1709
470,"City Hall",2020,0,488.1069
471,"City Hall",2020,0,502.2569
472,"City Hall",2020,0,493.2738
473,"City Hall",2020,0,503.6477
474,"City Hall",2020,0,503.8005
475,"City Hall",2020,0,486.7734
476,"City Hall",2020,0,487.9857
477,"City Hall",2020,0,508.1537
478,"City Hall",2020,0,495.2754
479,"City Hall",2020,0,500.4443
480,"City Hall",2020,0,489.0124
481,"City Hall",2020,0,499.0265
482,"City Hall",2020,0,500.9861
483,"City Hall",2020,0,509.7005
484,"City Hall",2020,0,494.0772
485,"City Hall",2020,0,503.9646
486,"City Hall",2020,0,496.9766
487,"City Hall",2020,0,502.3587
488,"City Hall",2020,0,484.0661
489,"City Hall",2020,0,499.656
490,"City Hall",2020,0,498.9415
491,"City Hall",2020,0,494.6645
492,"City Hall",2020,0,514.9611
493,"City Hall",2020,0,504.2623
494,"City Hall",2020,0,498.1371
495,"City Hall",2020,0,494.4097
496,"City Hall",2020,0,506.6523
497,"City Hall",2020,0,495.7347
498,"City Hall",2020,0,491.4781
499,"City Hall",2020,0,499.2475
500,"City Hall",2020,0,505.0376
501,"City Hall",2020,0,483.9742
502,"City Hall",2020,0,505.3098
503,"City Hall",2020,0,491.7491
504,"City Hall",2020,0,498.992
505,"City Hall",2020,0,491.2932
506,"City Hall",2020,0,488.3044
507,"City Hall",2020,0,515.8043
508,"City Hall",2020,0,494.2437
509,"City Hall",2020,0,502.1493
510,"City Hall",2020,0,504.0201
511,"City Hall",2020,0,517.752
512,"City Hall",2020,0,501.5178
513,"City Hall",2020,0,504.8483
514,"City Hall",2020,0,481.5632
515,"City Hall",2020,0,507.1372
516,"City Hall",2020,0,501.3899
517,"City Hall",2020,0,497.5113
518,"City Hall",2020,0,489.5146
519,"City Hall",2020,0,485.6433
520,"City Hall",2020,0,493.1393
521,"City Hall",2020,0,499.5686
522,"City Hall",2020,0,499.4458
523,"City Hall",2020,0,492.7919
524,"City Hall",2020,0,495.3164
525,"City Hall",2020,0,503.8138
526,"City Hall",2020,0,502.1176
527,"City Hall",2020,0,509.8983
528,"City Hall",2020,0,506.1309
529,"City Hall",2020,0,494.8876
530,"City Hall",2020,0,515.4076
531,"City Hall",2020,0,508.5744
532,"City Hall",2020,0,491.355
533,"City Hall",2020,0,497.7156
534,"City Hall",2020,0,483.8134
535,"City Hall",2020,0,510.5455
536,"City Hall",2020,0,499.4987
537,"City Hall",2020,0,506.7697
538,"City Hall",2020,0,474.2431
539,"City Hall",2020,0,500.774
540,"City Hall",2020,0,506.2124
541,"City Hall",2020,0,495.0605
542,"City Hall",2020,0,505.3827
543,"City Hall",2020,0,487.0508
544,"City Hall",2020,0,518.8726
545,"City Hall",2020,0,507.2688
546,"City Hall",2020,0,510.0594
547,"City Hall",2020,0,515.1812
548,"City Hall",2020,0,484.5926
549,"City Hall",2020,0,487.1154
550,"City Hall",2020,0,512.3329
551,"City Hall",2020,0,485.4845
552,"City Hall",2020,0,497.6753
553,"City Hall",2020,0,496.8622
554,"City Hall",2020,0,490.5117
555,"City Hall",2020,0,500.0754
556,"City Hall",2020,0,501.7018
557,"City Hall",2020,0,508.4277
558,"City Hall",2020,0,514.987
559,"City Hall",2020,0,497.1674
560,"City Hall",2020,0,498.526
561,"City Hall",2020,0,476.9954
562,"City Hall",2020,0,507.8906
563,"City Hall",2020,0,499.0984
564,"City Hall",2020,0,513.3779
565,"City Hall",2020,0,493.333
566,"City Hall",2020,0,500.9745
567,"City Hall",2020,0,491.1308
568,"City Hall",2020,0,486.6685
569,"City Hall",2020,0,496.5753
570,"City Hall",2020,0,484.4285
571,"City Hall",2020,0,512.5511
572,"City Hall",2020,0,516.0173
573,"City Hall",2020,0,498.6705
574,"City Hall",2020,0,513.3802
575,"City Hall",2020,0,498.3325
576,"City Hall",2020,0,508.9684
577,"City Hall",2020,0,507.4908
578,"City Hall",2020,0,500.8082
579,"City Hall",2020,0,501.5067
580,"City Hall",2020,0,489.2759
581,"City Hall",2020,0,504.0784
582,"City Hall",2020,0,479.5401
583,"City Hall",2020,0,484.4709
584,"City Hall",2020,0,493.9797
585,"City Hall",2020,0,500.3789
586,"City Hall",2020,0,487.2221
587,"City Hall",2020,0,491.2953
588,"City Hall",2020,0,498.0003
589,"City Hall",2020,0,504.6634
590,"City Hall",2020,0,501.5324
591,"City Hall",2020,0,509.3961
592,"City Hall",2020,0,508.0407
593,"City Hall",2020,0,509.5976
594,"City Hall",2020,0,514.2712
595,"City Hall",2020,0,492.6284
596,"City Hall",2020,0,513.5454
597,"City Hall",2020,0,511.6308
598,"City Hall",2020,0,513.2534
599,"City Hall",2020,0,516.2521
600,"City Hall",2020,0,496.4205
601,"City Hall",2020,0,501.1622
602,"City Hall",2020,0,489.0807
603,"City Hall",2020,0,491.2187
604,"City Hall",2020,0,499.6563
605,"City Hall",2020,0,511.9927
606,"City Hall",2020,0,495.1159
607,"City Hall",2020,0,485.2427
608,"City Hall",2020,0,497.8778
609,"City Hall",2020,0,509.0772
610,"City Hall",2020,0,505.5109
611,"City Hall",2020,0,499.1413
612,"City Hall",2020,0,508.0557
613,"City Hall",2020,0,487.6105
614,"City Hall",2020,0,473.2464
615,"City Hall",2020,0,506.0539
616,"City Hall",2020,0,505.5178
617,"City Hall",2020,0,503.7389
618,"City Hall",2020,0,514.3392
619,"City Hall",2020,0,493.3078
620,"City Hall",2020,0,502.1285
621,"City Hall",2020,0,489.0515
622,"City Hall",2020,0,506.0474
623,"City Hall",2020,0,482.5903
624,"City Hall",2020,0,487.0212
625,"City Hall",2020,0,492.5881
626,"City Hall",2020,0,490.9538
627,"City Hall",2020,0,522.3438
628,"City Hall",2020,0,509.1187
629,"City Hall",2020,0,491.5417
630,"City Hall",2020,0,501.9324
631,"City Hall",2020,0,498.9386
632,"City Hall",2020,0,490.912
633,"City Hall",2020,0,505.5249
634,"City Hall",2020,0,502.919
635,"City Hall",2020,0,508.537
636,"City Hall",2020,0,499.8231
637,"City Hall",2020,0,494.7815
638,"City Hall",2020,0,493.8965
639,"City Hall",2020,0,507.4706
640,"City Hall",2020,0,502.7377
641,"City Hall",2020,0,503.182
642,"City Hall",2020,0,504.3438
643,"City Hall",2020,0,508.808
644,"City Hall",2020,0,481.9644
645,"City Hall",2020,0,490.7173
646,"City Hall",2020,0,492.4661
647,"City Hall",2020,0,504.3375
648,"City Hall",2020,0,493.6649
649,"City Hall",2020,0,525.2206
650,"City Hall",2020,0,517.8684
651,"City Hall",2020,0,496.2911
652,"City Hall",2020,0,504.9986
653,"City Hall",2020,0,497.9256
654,"City Hall",2020,0,503.3821
655,"City Hall",2020,0,489.4858
656,"City Hall",2020,0,485.1103
657,"City Hall",2020,0,497.1086
658,"City Hall",2020,0,505.9794
659,"City Hall",2020,0,491.6514
660,"City Hall",2020,0,512.9334
661,"City Hall",2020,0,495.3399
662,"City Hall",2020,0,495.9188
663,"City Hall",2020,0,499.5043
664,"City Hall",2020,0,505.4995
665,"City Hall",2020,0,494.4067
666,"City Hall",2020,0,479.8848
667,"City Hall",2020,0,496.8505
668,"City Hall",2020,0,506.6212
669,"City Hall",2020,0,510.028
670,"City Hall",2020,0,505.0806
671,"City Hall",2020,0,502.9273
672,"City Hall",2020,0,489.4576
673,"City Hall",2020,0,489.5119
674,"City Hall",2020,0,486.7664
675,"City Hall",2020,0,502.2136
676,"City Hall",2020,0,499.1274
677,"City Hall",2020,0,505.6415
678,"City Hall",2020,0,502.1974
679,"City Hall",2020,0,517.5763
680,"City Hall",2020,0,497.5808
681,"City Hall",2020,0,497.1323
682,"City Hall",2020,0,490.0278
683,"City Hall",2020,0,505.6346
684,"City Hall",2020,0,506.3542
685,"City Hall",2020,0,500.2874
686,"City Hall",2020,0,490.3493
687,"City Hall",2020,0,491.7485
688,"City Hall",2020,0,515.8977
689,"City Hall",2020,0,511.2535
690,"City Hall",2020,0,499.7973
691,"City Hall",2020,0,512.6931
692,"City Hall",2020,0,498.8336
693,"City Hall",2020,0,482.9503
694,"City Hall",2020,0,493.8186
695,"City Hall",2020,0,498.2226
696,"City Hall",2020,0,495.9962
697,"City Hall",2020,0,508.9815
698,"City Hall",2020,0,506.9218
699,"City Hall",2020,0,502.567
700,"City Hall",2020,0,505.7899
701,"City Hall",2020,0,488.1748
702,"City Hall",2020,0,505.685
703,"City Hall",2020,0,506.0784
704,"City Hall",2020,0,477.2293
705,"City Hall",2020,0,511.0406
706,"City Hall",2020,0,492.2768
707,"City Hall",2020,0,512.6569
708,"City Hall",2020,0,488.571
709,"City Hall",2020,0,499.3207
710,"City Hall",2020,0,496.7103
711,"City Hall",2020,0,507.5685
712,"City Hall",2020,0,499.7144
713,"City Hall",2020,0,510.5514
714,"City Hall",2020,0,509.6597
715,"City Hall",2020,0,493.5544
716,"City Hall",2020,0,514.033
717,"City Hall",2020,0,513.9559
718,"City Hall",2020,0,495.1338
719,"City Hall",2020,0,504.6137
720,"City Hall",2020,0,496.5304
721,"City Hall",2020,0,507.4507
722,"City Hall",2020,0,502.2976
723,"City Hall",2020,0,480.489
724,"City Hall",2020,0,503.1767
725,"City Hall",2020,0,491.0197
726,"City Hall",2020,0,483.8658
727,"City Hall",2020,0,492.6671
728,"City Hall",2020,0,481.3343
729,"City Hall",2020,0,521.5114
730,"City Hall",2020,0,499.3606
731,"City Hall",2020,0,487.1178
732,"City Hall",2020,0,486.351
733,"City Hall",2020,0,493.2621
734,"City Hall",2020,0,485.0968
735,"City Hall",2020,0,517.6097
736,"City Hall",2020,0,509.4521
737,"City Hall",2020,0,490.8781
738,"City Hall",2020,0,500.1299
739,"City Hall",2020,0,502.5685
740,"City Hall",2020,0,506.9426
741,"City Hall",2020,0,506.4483
742,"City Hall",2020,0,479.1985
743,"City Hall",2020,0,497.5531
744,"City Hall",2020,0,496.82
745,"City Hall",2020,0,500.0334
746,"City Hall",2020,0,502.4443
747,"City Hall",2020,0,484.0995
748,"City Hall",2020,0,485.7776
749,"City Hall",2020,0,510.5286
750,"City Hall",2020,0,486.8875
751,"City Hall",2020,0,507.041
752,"City Hall",2020,0,511.956
753,"City Hall",2020,0,504.9449
754,"City Hall",2020,0,501.5945
755,"City Hall",2020,0,498.6659
756,"City Hall",2020,0,508.165
757,"City Hall",2020,0,484.0727
758,"City Hall",2020,0,505.3776
759,"City Hall",2020,0,518.8782
760,"City Hall",2020,0,504.245
761,"City Hall",2020,0,484.6622
762,"City Hall",2020,0,505.3491
763,"City Hall",2020,0,497.1439
764,"City Hall",2020,0,480.7975
765,"City Hall",2020,0,486.2227
766,"City Hall",2020,0,501.7365
767,"City Hall",2020,0,485.1031
768,"City Hall",2020,0,511.8046
769,"City Hall",2020,0,502.9296
770,"City Hall",2020,0,500.5982
771,"City Hall",2020,0,495.2381
772,"City Hall",2020,0,501.692
773,"City Hall",2020,0,498.1948
774,"City Hall",2020,0,507.8743
775,"City Hall",2020,0,500.7064
776,"City Hall",2020,0,514.6668
777,"City Hall",2020,0,475.0216
778,"City Hall",2020,0,498.4283
779,"City Hall",2020,0,509.8702
