"pid","assessed_value"
123,312615.953329947
124,358287.293827499
125,144590.643295135
126,509879.713531959
127,59825.4977570675
128,399567.243980663
129,616672.439879343
130,317503.212927511
131,245537.941438969
132,478771.099294126
133,121639.220040919
134,566734.663758774
135,215910.69223259
136,595661.374755256
137,231715.923744846
138,310746.719320467
139,271595.971574989
140,124885.546044635
141,308728.863573164
142,206450.727481129
143,205452.058778406
144,126843.557552618
145,62889.0398207079
146,556256.32483652
147,568739.942491511
148,77211.3610573475
149,91969.6482129118
150,741577.416403143
151,319185.753770621
152,222257.843172299
153,192266.292435082
154,161505.166837619
155,683083.595663546
156,377552.855877786
157,342033.355743872
158,25023.9281299167
159,241677.489211664
160,124703.538326217
161,408678.602589173
162,110874.503744518
163,174471.309825109
164,731594.355612054
165,579995.776865589
166,445017.63608947
167,1016915.25445058
168,63080.1685824948
169,293319.959371779
170,533257.24699893
171,290018.395286227
172,149084.373350169
173,184448.878922548
174,191302.373562469
175,63246.4962431091
176,469022.740504071
177,80808.4112438578
178,256714.83591841
179,94088.5938320618
180,96813.8881991545
181,59549.1958287976
182,175204.084229368
183,238588.220616035
184,104672.140168798
185,151296.740929886
186,220053.436046997
187,126923.098037378
188,186392.97290397
189,302263.999001209
190,302589.125590391
191,39865.8699540363
192,214077.591281331
193,34946.2419116643
194,282323.888640979
195,303129.986107815
196,98833.2595219603
197,141506.328357604
198,303493.167604059
199,188695.498255162
200,253143.774485171
201,147049.051646427
202,404141.848667903
203,370414.62356129
204,91932.917041045
205,115016.29427775
206,99144.8812325529
207,460850.276948381
208,83069.4122702818
209,212636.71145211
210,402487.632755192
211,147406.939779361
212,335998.605500635
213,245475.169545047
214,296797.218581322
215,56943.8512401408
216,127837.85711024
217,160859.471896073
218,271951.835763359
219,1091367.5763162
220,212253.073551483
221,236062.719110868
222,330886.822781317
223,1248821.41036246
224,430590.564841193
225,279618.131694654
226,289440.266364321
227,164901.201633095
228,282068.336448355
229,401113.551652466
230,250510.772617377
231,259127.419960645
232,100762.531119921
233,216240.181907412
234,189256.297085409
235,636902.678908741
236,677647.176343597
237,431588.796352847
238,637874.672972809
239,63305.745297161
240,836340.189329901
241,304648.410649314
242,1062377.72964418
243,144565.553685519
244,125576.806407309
245,360717.12251537
246,334196.140494261
247,141159.526613988
248,57607.9868747988
249,61498.4899165485
250,232887.464858912
251,151893.12201956
252,94288.5929525323
253,354887.760373392
254,247483.253640697
255,36750.8365255349
256,225478.313442308
257,293866.641821909
258,260824.709969753
259,230142.987795084
260,106400.032451125
261,480044.803743124
262,62284.4864398742
263,333630.853355666
264,444035.984175392
265,296701.21719461
266,260968.71327988
267,334314.065367835
268,203709.369570045
269,143433.31324662
270,306143.24841717
271,68814.7535924017
272,82642.1558053345
273,109682.314429892
274,82573.0985797774
275,229340.125113835
276,420944.300678898
277,69504.9844034437
278,86109.8777842584
279,298553.88270686
280,545266.099063801
281,429777.870605211
282,240053.130950295
283,576092.5729131
284,243587.743843004
285,172622.642611139
286,231560.85704634
287,73403.0420180702
288,1202166.95253489
289,646737.116549033
290,471724.084131165
291,201919.010465224
292,297978.596952651
293,934930.952848122
294,279098.848735773
295,161510.218537711
296,74500.3809683865
297,295653.86526809
298,40965.508621679
299,83725.1675076643
300,214948.79779544
301,85222.6696340626
302,274422.627720805
303,972440.856861492
304,315042.384441958
305,314513.282311716
306,350716.150278245
307,456174.323665194
308,141450.946611204
309,234944.989789546
310,218084.822026002
311,626704.4557407
312,686249.473140679
313,40841.1501201014
314,121420.834430392
315,367141.34482996
316,263868.472214355
317,223024.371715557
318,130732.790162745
319,535507.283008014
320,348885.694114383
321,326866.856766834
322,234663.418078103
323,202800.069515742
324,146417.00000433
325,83270.4023217752
326,640330.802456311
327,38871.2014874552
328,214839.120925884
329,136510.953825391
330,229537.534241846
331,86865.8354548639
332,52310.3579933982
333,100674.866673736
334,300682.119408337
335,267181.046333278
336,162008.178380956
337,209099.551870585
338,563879.132244911
339,173478.45732978
340,276094.151444366
341,491747.503489136
342,397885.93578539
343,187106.181560509
344,56652.9268263605
345,108816.154196277
346,132245.436701254
347,374131.045631632
348,87891.9271804913
349,510665.127043522
350,397988.84826956
351,402340.339457711
352,226601.772125607
353,170710.387445014
354,177648.245856551
355,31636.5644628657
356,147404.947522201
357,157432.864554746
358,225136.61888104
359,102013.036967603
360,226852.130367327
361,222396.315689258
362,81153.5614279128
363,145068.617722729
364,266008.121832151
365,61250.2910739618
366,422283.886897893
367,345280.10838067
368,192196.36201734
369,316937.801709779
370,258144.425909956
371,74172.6744900685
372,231203.003014999
373,125912.423347123
374,632026.044968419
375,136185.06625021
376,333970.753082881
377,171977.325681188
378,244304.592140651
379,271680.637092415
380,248505.750252459
381,64156.9593746492
382,278176.122161188
383,1593019.88149567
384,107578.126781717
385,209127.08752624
386,44746.5953637213
387,221857.913411553
388,223640.780061142
389,497483.958064248
390,175028.168142464
391,266127.900181667
392,188438.375711387
393,175493.221221015
394,1134724.42895103
395,334237.333034649
396,314167.967450221
397,264585.475312432
398,45965.8363539875
399,382018.99429942
400,113464.942646831
401,265897.85128264
402,231957.738727913
403,311212.711406969
404,290267.287221358
405,196429.434866882
406,72443.6636271865
407,297905.358178456
408,250877.706709859
409,229145.480436237
410,318693.003842372
411,205905.177318145
412,516941.646975189
413,174740.558612909
414,127658.33724988
415,283640.829024715
416,296032.358763275
417,647242.332063964
418,311960.73582825
419,227858.284666735
420,218452.876331297
421,260507.879315865
422,323928.818822444
423,64429.8967568949
424,248887.731151382
425,345404.112015004
426,203372.876529306
427,416072.448653004
428,193295.615309085
429,324907.915862213
430,258794.174972726
431,489396.447483308
432,253673.673667681
433,453587.117939193
434,106368.605438524
435,452285.425352017
436,82195.5687991697
437,218156.941789566
438,131735.289068942
439,1385060.5603379
440,121050.113668998
441,307512.550710173
442,133560.639152449
443,388597.908606903
444,201954.908814854
445,420901.105739353
446,710557.24168292
447,364859.683001418
448,192058.815964588
449,252419.280825785
450,259325.04342662
451,436793.646197003
452,807531.624664194
453,131383.158517309
454,85692.2127904076
455,255669.561855126
456,308455.285997211
457,275165.145182759
458,1617199.20754965
459,203216.472917593
460,1088745.9588513
461,420977.072248227
462,289357.816580616
463,103454.412065373
464,298929.052924423
465,152176.344817107
466,183047.840189309
467,522361.890708711
468,143888.402623297
469,325858.711269793
470,193218.756424897
471,257794.140060625
472,255716.901491717
473,308751.5329255
474,285442.947257201
475,83020.3715002865
476,88720.3793142863
477,285470.647231856
478,363025.240235985
479,148864.295614521
480,230122.261985975
481,161076.002061388
482,180902.08194158
483,173343.800923437
484,149697.273525449
485,66593.1266151289
486,64557.3065350149
487,500373.516999216
488,717913.211897406
489,171889.921247411
490,514831.266662681
491,139143.104879763
492,161728.424910335
493,779295.563544265
494,585261.948232225
495,1026994.48027845
496,138840.218451771
497,219520.886737678
498,364744.104758511
499,140902.301616793
500,256182.643201262
501,740023.174637483
502,429507.948435907
503,760988.778267622
504,275791.60487365
505,268387.327654304
506,708111.559950578
507,113923.358080581
508,399249.09045101
509,262907.642281213
510,916651.240306577
511,828336.121135218
512,137538.701055796
513,264194.709906969
514,380787.956572572
515,374363.067689881
516,628791.211285184
517,216474.326461741
518,112907.251188374
519,131234.161436979
520,116818.991041191
521,619220.045485592
522,185470.306664654
523,105235.555863267
524,79350.0646306957
525,123890.274735749
526,394215.078744235
527,280403.154220095
528,174109.227924022
529,182961.56517142
530,423851.417814266
531,274673.46033162
532,73877.4047998893
533,265532.68420581
534,106643.145222512
535,396321.285569669
536,78447.4373559003
537,305234.24868994
538,323155.435734453
539,337018.249971876
540,78488.4591786189
541,264133.630998242
542,219477.025853911
543,634713.089100697
544,240752.282610149
545,215302.199781434
546,460166.615013491
547,284072.583876232
548,593994.875666363
549,171387.087125577
550,168389.708797282
551,127621.138889297
552,240202.243678681
553,168611.005379875
554,219707.859426616
555,83489.1200435367
556,868764.035628371
557,136626.303465672
558,304010.365380815
559,470688.023584422
560,581677.944047798
561,111184.472293096
562,604903.50526087
563,182978.16380918
564,127829.987768899
565,406505.636170212
566,617379.202871964
567,123781.452626723
568,152941.352251478
569,595240.711523342
570,373441.91218996
571,356508.321943687
572,386612.542949442
573,58077.6778946262
574,124455.704202387
575,1382105.7470808
576,328112.724702236
577,999389.995386757
578,103684.886924452
579,361591.717386171
580,120312.379213102
581,431760.801324939
582,60207.9868406356
583,253670.374001715
584,160597.771276759
585,253573.459292261
586,175302.429709456
587,162587.087901811
588,430460.089964033
589,287386.296327352
590,183088.909391398
591,131393.590305507
592,296977.921025926
593,359424.879461966
594,83932.7930753622
595,222839.406561702
596,402040.588681624
597,220025.184446956
598,249306.705137088
599,168116.206644711
600,254088.69361623
601,421251.44920052
602,726286.408219823
603,333135.210675129
604,254321.646676032
605,240749.051441726
606,274515.134483386
607,33515.4845747832
608,245349.216876085
609,103309.060429875
610,270980.19824907
611,923997.478078355
612,656788.718824332
613,237748.559378508
614,139162.216668047
615,218640.662231298
616,473971.660850053
617,133294.186200512
618,297550.921149073
619,347958.521926163
620,245089.315493911
621,265940.298948122
622,222595.038206873
623,189333.350128124
624,112524.416820687
625,152398.003904014
626,202466.031606823
627,652229.912654166
628,49273.2376339934
629,313033.371308001
630,38038.8277653682
631,416380.9081028
632,40613.3946775709
633,88945.8913179324
634,828691.35651985
635,229145.931021943
636,429538.061187467
637,142814.725984585
638,84974.3392098379
639,154397.662082466
640,533611.474817114
641,198620.784695204
642,365628.485385976
643,323773.729562043
644,329660.04012395
645,407318.931555205
646,512677.503727906
647,278568.400844465
648,340189.480379877
649,259520.630186133
650,170189.19225393
651,148109.504319023
652,293982.801119698
653,179960.660446358
654,215282.10746161
655,387398.130202382
656,1034030.91223056
657,248903.175032904
658,193760.785197045
659,95111.0466005479
660,201783.45763448
661,132494.882731376
662,302124.716015515
663,289942.648634304
664,190401.163802933
665,189358.136314693
666,251532.245136495
667,657124.047319632
668,79226.3622855564
669,684137.013837185
670,287606.526035641
671,498964.209398521
672,335971.32143216
673,385210.460478191
674,297824.619063853
675,98631.3897030488
676,525292.587099364
677,245290.089291304
678,125609.330507935
679,212507.819739657
680,466704.192794373
681,351561.44190338
682,349423.351642981
683,128011.457740179
684,306327.825350077
685,250884.215026422
686,308320.923821799
687,245961.349652194
688,201070.557239358
689,202675.501653284
690,336474.952187512
691,95180.4773219926
692,65844.2986871016
693,122253.534001854
694,210950.859731133
695,146180.848325647
696,236957.958979114
697,187783.786453727
698,216010.924547109
699,164867.538998465
700,149748.965713434
701,110966.090910496
702,780659.662308085
703,241510.996704651
704,338781.908692288
705,106360.071199398
706,451773.036894552
707,543577.577568662
708,179399.403623949
709,40625.0711673157
710,242676.243631658
711,272260.592542228
712,637667.423589431
713,308449.671006321
714,128244.369606747
715,101538.055464451
716,531244.731909952
717,254994.806470511
718,392577.378659985
719,238783.027300042
720,53929.043868573
721,236441.61927673
722,265671.712080037
723,746974.576044499
724,56907.0903525775
725,129504.693080345
726,277708.099282016
727,172709.386374027
728,44027.6341382674
729,401793.274466556
730,121407.985682703
731,271048.779242028
732,1005551.5854386
733,72324.2054823836
734,277868.287915471
735,179271.261108402
736,151766.667085921
737,54996.9196225994
738,318637.370370772
739,120957.554170883
740,232251.07471833
741,87572.4833318679
742,240690.79662322
743,487385.135095056
744,1516214.55613993
745,812050.532481175
746,359392.196303344
747,233238.474296072
748,29136.1545439061
749,320238.133175672
750,130895.342227547
751,451429.354377641
752,43323.8665676054
753,346035.69837478
754,390346.40230462
755,51951.4968171182
756,560888.87323024
757,70705.7622261441
758,287068.879315323
759,30084.5143911169
760,1002977.38926375
761,138318.787022112
762,254176.504391061
763,335400.368996416
764,647997.189872936
765,241288.611680062
766,144964.971454531
767,147158.952095278
768,117039.995536653
769,418243.037480048
770,390047.289188605
771,208347.019363098
772,45675.872174848
773,371676.150917533
774,388802.572630642
775,522136.859684485
776,1063499.77468617
777,896833.714860544
778,250560.101962005
779,35888.7189680808
780,392008.344539747
781,350357.754083772
782,187874.164287945
783,300852.294029135
784,178546.419533957
785,75387.7895508065
786,154435.562643967
787,314206.462279409
788,366000.276900059
789,143338.582324624
790,1256389.09483028
791,204359.883009198
792,415971.025474219
793,49407.663813927
794,436631.044742475
795,2276903.92813358
796,369078.094917925
797,184207.963353513
798,306438.267493179
799,210916.75623433
800,382817.997861819
801,176259.610630523
802,252321.433014172
803,159631.894675191
804,298747.919976359
805,48400.9858476253
806,271826.312060663
807,258559.435842518
808,285193.805941171
809,418531.661677622
810,121677.823513384
811,592984.168436587
812,175774.671466982
813,257950.392156029
814,542787.007109828
815,199464.809937635
816,311348.129350022
817,177358.711720237
818,168849.886455237
819,134327.001236402
820,435345.338121624
821,52065.4917373715
822,190045.112542453
823,297990.895509648
824,162681.763235341
825,203249.51867155
826,153954.006430912
827,290777.320069667
828,197888.654835699
829,456907.678439713
830,304240.430627472
831,209018.141200051
832,499546.688713084
833,160717.516398587
834,630290.841439061
835,222822.904122704
836,159420.328472402
837,726103.665630564
838,278619.504673545
839,144581.993055069
840,469665.823281753
841,363736.040944607
842,195618.992367636
843,94843.8960494078
844,200925.493604063
845,144679.64358902
846,199480.996977141
847,294236.208596515
848,450128.735279214
849,117847.916664914
850,364070.250925015
851,515414.598056264
852,228799.353980549
853,217824.532231826
854,58694.6278963343
855,211263.842236322
856,452575.969842498
857,177586.105799384
858,59021.9102188068
859,171489.469072432
860,65557.8275472885
861,196572.154718478
862,305207.812425777
863,148855.322099001
864,257496.057440765
865,477337.943081566
866,332927.979301534
867,73509.7256773424
868,369770.556963904
869,244508.08448762
870,187000.041602674
871,304959.66201559
872,267993.781951772
873,242062.05252911
874,72045.7418644456
875,559384.858927399
876,288948.499114298
877,429025.999488394
878,1365776.70785136
879,313861.738798703
880,170162.533805823
881,308663.988496144
882,166509.260378313
883,124900.223133459
884,492004.615666478
885,288797.091691475
886,31581.5406872538
887,41400.2725358655
888,204490.737466579
889,123561.104460182
890,174322.570823061
891,1197263.54164112
892,932651.110012261
893,285648.697250328
894,271522.357023177
895,76884.8185768026
896,71634.7648534017
897,109168.19152917
898,66884.5372583919
899,213928.188712152
900,94267.0435663003
901,678618.668635081
902,93911.034694371
903,81609.9509194762
904,751237.523708166
905,100065.96298565
906,658992.462223639
907,185688.573016787
908,190053.976115129
909,340991.817357885
910,80074.5834832537
911,771986.020363256
912,162086.410050359
913,194705.818626725
914,41502.3054715449
915,37036.3555725731
916,357575.299496207
917,335857.351135119
918,208336.359650607
919,1432133.74921879
920,189881.176736172
921,170262.380505744
922,378043.341237994
923,156458.032336238
924,229176.025128931
925,570664.565832392
926,375713.841337602
927,102181.137552537
928,166911.998186831
929,793305.7800279
930,59285.752609617
931,384659.422149856
932,53289.9893325993
933,120155.621502492
934,231359.477074321
935,131527.914000149
936,554134.361643498
937,273845.458303597
938,40646.916800493
939,188348.781391512
940,165371.787082999
941,203273.331901144
942,311974.942272585
943,85077.1048309789
944,38467.348374363
945,82690.872393003
946,310196.296725924
947,169045.549271345
948,37179.479728185
949,384028.278660126
950,260555.039342219
951,323896.669742737
952,1090510.87794766
953,250479.474128032
954,1041904.84802375
955,414605.351254708
956,328493.433756341
957,186255.794470468
958,505926.989356424
959,144611.943795926
960,62439.9368866548
961,96027.9099098387
962,577315.14889785
963,239647.774194564
964,219706.454541573
965,147454.761614475
966,434105.696837571
967,231029.174352914
968,185683.104530335
969,126549.885560444
970,445328.152079155
971,139272.656343813
972,351612.423144671
973,221351.568637241
974,120556.142036097
975,1402617.97548629
976,115672.357938868
977,195144.278468641
978,730128.13836801
979,372595.283286438
980,179931.663096294
981,172763.611211622
982,74797.5339808102
983,210083.934122078
984,211858.323871176
985,41265.5313482305
986,172945.916341667
987,1509073.10935807
988,85135.7492906547
989,241759.454877661
990,70096.1622623724
991,661190.039456933
992,480482.677489602
993,379879.45891508
994,118676.034858429
995,27424.9152684423
996,242546.123103683
997,202824.414139108
998,98410.4959699432
999,165843.182015786
1000,215933.756162273
1001,315775.880864644
1002,98456.6679733935
1003,157769.429747203
1004,344810.699668802
1005,537543.591533235
1006,253563.632138656
1007,537945.734956368
1008,694299.293879487
1009,189712.268338203
1010,29852.5856956364
1011,895219.70555656
1012,278845.467507581
1013,355453.767488633
1014,100078.001688587
1015,425715.079370334
1016,470510.04292533
1017,238214.326119196
1018,67974.1848226823
1019,196186.119994047
1020,155180.602461065
1021,220435.979241439
1022,331795.952396896
1023,228320.850771061
1024,222048.089864234
1025,121400.592748237
1026,144081.627964992
1027,499513.918901563
1028,233582.612801867
1029,73651.3310891822
1030,139437.751914857
1031,403566.160314291
1032,206129.297918638
1033,108501.875452506
1034,117224.094968455
1035,227699.422372331
1036,281771.893086195
1037,79132.2747847501
1038,492148.062933319
1039,20241.9077781534
1040,306500.458469428
1041,286054.28929399
1042,98624.2068188587
1043,66625.9589638828
1044,516310.090636421
1045,97606.0937953393
1046,303811.748473559
1047,343670.580950082
1048,231259.004696225
1049,396041.004119479
1050,215423.210596498
1051,74479.0868214561
1052,421837.382748219
1053,196411.086397422
1054,800069.557998554
1055,364400.831588815
1056,31939.4296926301
1057,260391.477099341
1058,575979.285639172
1059,586520.675206793
1060,299707.112816265
1061,330792.509789555
1062,309608.320381782
1063,158728.272421816
1064,712154.595902391
1065,58660.5994350414
1066,981971.460106257
1067,593031.532817226
1068,645629.393104354
1069,75476.1262227347
1070,337399.64204162
1071,882601.248229244
1072,235167.613372951
1073,282810.689068054
1074,193883.936735156
1075,350423.077062022
1076,370289.440984674
1077,454823.756180026
1078,627568.359475697
1079,71692.746808997
1080,97234.9679365307
1081,209219.753632878
1082,348536.727269926
1083,259556.310634844
1084,272962.825435365
1085,269342.151906772
1086,215478.68184832
1087,253896.189843318
1088,78372.9678602541
1089,134874.495476789
1090,275830.795834797
1091,217432.232195009
1092,359108.286604433
1093,468098.244826447
1094,287863.153608959
1095,376008.649172418
1096,558266.163530853
1097,216438.561228385
1098,260010.700509457
1099,577150.506710785
1100,238187.808520587
1101,308854.340501572
1102,363642.68856486
1103,1337671.13127844
1104,714315.810340099
1105,369580.414271414
1106,287747.858287995
1107,222823.719577353
1108,160626.164428219
1109,163709.560745313
1110,110412.447968923
1111,191868.006037504
1112,54528.4687681013
1113,232834.131996286
1114,231515.569127466
1115,573565.260679263
1116,575576.111477639
1117,45057.9750282401
1118,97633.6192701272
1119,552284.918834963
1120,274244.397648439
1121,239058.229500077
1122,388942.437524768
1123,264412.066456154
1124,274616.35538737
1125,223222.970508523
1126,239317.726661779
1127,190963.893391645
1128,167059.122842793
1129,703230.430947519
1130,38896.9179272408
1131,80782.1788632972
1132,254986.730986796
1133,289487.591924156
1134,310224.343797021
1135,321154.360936363
1136,241900.65694317
1137,103804.693746384
1138,972076.816962956
1139,320551.924263004
1140,53902.1191315347
1141,383334.797817531
1142,88967.0779946795
1143,1418753.0174846
1144,222191.485371032
1145,163946.359095535
1146,105102.473219034
1147,93066.9431008441
1148,292387.563876979
1149,197512.943712089
1150,37002.8223076557
1151,134520.569413408
1152,670639.777215809
1153,274487.804072381
1154,49487.4421198143
1155,241821.159986855
1156,442181.281766246
1157,98766.237103381
1158,557179.247524132
1159,229425.988075553
1160,56303.7257279203
1161,108760.764465036
1162,69743.9689386095
1163,384575.374555649
1164,298344.436141046
1165,140265.119020787
1166,123176.782933635
1167,316460.145396683
1168,373916.179174555
1169,126624.711055611
1170,274356.625173488
1171,253257.414511381
1172,114735.947060243
1173,221776.634906442
1174,673682.472442161
1175,243005.324281892
1176,155353.94881808
1177,351993.164499542
1178,247486.801347641
1179,224692.73257245
1180,62820.9458818255
1181,156984.196135923
1182,406273.125821516
1183,44529.460321629
1184,228482.460054953
1185,449495.589101301
1186,903854.33122073
1187,1146184.44355359
1188,201166.41406752
1189,279398.639637828
1190,229065.247849342
1191,239284.027623735
1192,143437.578252267
1193,454223.362668745
1194,94462.7747143123
1195,96192.8774497092
1196,303443.316024327
1197,103290.589343317
1198,689938.755518478
1199,204389.529068118
1200,239524.062678863
1201,190921.622589473
1202,143932.491299462
1203,37260.9658996233
1204,75512.6202484741
1205,200530.017896731
1206,325237.93088852
1207,235519.241421238
1208,146139.645511707
1209,131080.697949063
1210,283010.55493175
1211,51952.7607819926
1212,290665.235928414
1213,374478.932153232
1214,110869.013937604
1215,136559.823148469
1216,171664.852247036
1217,334645.784099911
1218,1100233.18129644
1219,151646.957847566
1220,127157.516505103
1221,320748.431337458
1222,142604.140103939
1223,285168.448334335
1224,110720.383042293
1225,229185.244156693
1226,553697.972803677
1227,157792.251475721
1228,379601.904519101
1229,325275.593460848
1230,736196.377318128
1231,233135.423241617
1232,100552.799056678
1233,74515.6140697872
1234,201799.89682235
1235,79443.9127778393
1236,224054.011341774
1237,157136.796931204
1238,642789.271210023
1239,531254.268477402
1240,116753.278462526
1241,257039.5351086
1242,194532.939314649
1243,437624.579661177
1244,400133.746568945
1245,57405.0857256118
1246,279679.063003203
1247,107813.035007554
1248,254120.07353799
1249,96784.8320158747
1250,322760.638828647
1251,129379.823045858
1252,667243.455903385
1253,460928.922246663
1254,125312.13299563
1255,1114258.72400692
1256,215442.424609366
1257,90923.292170204
1258,291294.07122873
1259,327731.174117943
1260,176722.122303393
1261,338921.431169991
1262,278954.519968187
1263,928231.730805758
1264,117314.733745633
1265,362503.262710453
1266,72393.112676642
1267,121964.190952482
1268,92426.8906712519
1269,831995.051124267
1270,111991.101196861
1271,269012.687571824
1272,51575.7289236361
1273,249196.211859698
1274,216172.720874059
1275,260940.839822816
1276,369027.876088212
1277,264794.235906739
1278,202949.366132751
1279,300333.566225246
1280,151418.739141004
1281,147926.801791734
1282,725286.394467039
1283,323634.857007006
1284,427648.119005464
1285,317869.36370224
1286,767994.981000031
1287,437293.481096687
1288,49413.112372907
1289,261321.531560257
1290,128626.654002453
1291,206116.82514242
1292,244358.025576232
1293,91224.5397261653
1294,218901.114237151
1295,200090.093038432
1296,130496.593332423
1297,183451.651849496
1298,347089.03249345
1299,797643.709563704
1300,510720.788666675
1301,42207.970774881
1302,98558.6912111988
1303,328332.168118123
1304,282352.318970701
1305,196576.019916702
1306,163896.986780164
1307,125141.905345365
1308,236175.441317239
1309,365662.532498633
1310,276536.496157106
1311,64601.7674332949
1312,558567.382661153
1313,308139.378019573
1314,553210.119213235
1315,233566.372441423
1316,258761.044804886
1317,254313.926625037
1318,210291.078565917
1319,441017.431492501
1320,90894.5340742105
1321,278395.502324591
1322,324435.760214229
1323,263224.397678256
1324,649169.34357864
1325,251372.666972975
1326,218293.431737512
1327,252690.95965539
1328,545588.74850846
1329,43913.4254948714
1330,1023001.24468507
1331,583708.334074908
1332,265497.249918033
1333,309429.849694051
1334,320164.28635058
1335,56648.9213678869
1336,292028.710798153
1337,176086.937221491
1338,312459.009042551
1339,57701.5366889459
1340,158584.249810416
1341,1171979.56385261
1342,354898.747688417
1343,589904.15658819
1344,392681.109835618
1345,98658.2710573641
1346,91652.3612985503
1347,150286.250694707
1348,611647.201323418
1349,554734.767481596
1350,141638.00547584
1351,199594.461259273
1352,177987.400894206
1353,782707.684506538
1354,361883.531110197
1355,212638.336598239
1356,341973.073221505
1357,107827.634102342
1358,338023.479773675
1359,82780.4525334661
1360,308633.25366789
1361,224318.517284638
1362,297359.756846266
1363,80885.0263462307
1364,139031.891492173
1365,301939.603082793
1366,280999.583845312
1367,309319.154151821
1368,532774.162552138
1369,177653.911280614
1370,409687.589721362
1371,174992.709116893
1372,345874.200320017
1373,275524.476389912
1374,143098.808395445
1375,383992.727576058
1376,181295.042760061
1377,273687.45088198
1378,59901.0353210866
1379,108857.867001209
1380,167581.179605196
1381,803135.063205901
1382,281460.250885929
1383,566119.467885098
1384,193020.487791881
1385,431362.24184817
1386,222165.941576632
1387,261448.096556092
1388,66479.8166619827
1389,711110.939771859
1390,669366.741154162
1391,1147442.42520827
1392,262929.334099608
1393,38747.4688095445
1394,89917.1838549452
1395,423734.542009436
1396,97691.7149147156
1397,315672.191501564
1398,104986.590479383
1399,334409.015804396
1400,52020.2191803029
1401,307529.426735693
1402,217772.996297615
1403,50419.2146525178
1404,137586.381871605
1405,83242.8550102438
1406,168408.640634586
1407,356467.083756856
1408,584485.766991609
1409,727245.280892551
1410,459341.335533514
1411,1133424.90788727
1412,670377.728783305
1413,453296.914063217
1414,128062.287158534
1415,189119.16141568
1416,357739.866015909
1417,641530.025955453
1418,216676.954863174
1419,353334.704396896
1420,48743.0374387837
1421,208804.416358996
1422,117774.34165436
1423,58656.2474629311
1424,317445.386110758
1425,205947.338858525
1426,263588.819709479
1427,463620.314318578
1428,383095.734700213
1429,62917.4167176501
1430,317361.711931864
1431,267854.446502098
1432,66543.2696717559
1433,340328.438027648
1434,795465.776216737
1435,125565.152987468
1436,181578.880904422
1437,107114.05837128
1438,348286.611820385
1439,437416.885525464
1440,143327.53440456
1441,542471.295029527
1442,375349.199030288
1443,201021.279076053
1444,247456.9192431
1445,405272.365604487
1446,169733.648965916
1447,72135.1353764682
1448,488556.745939086
1449,130049.211521944
1450,336188.451859855
1451,280993.989909282
1452,298007.61106969
1453,148410.201218553
1454,97643.3529515957
1455,250252.592041752
1456,149050.934293301
1457,271680.637092415
1458,60638.6586595332
1459,304923.976873655
1460,319719.505096442
1461,662640.927362625
1462,246342.265714875
1463,664872.056536699
1464,396792.939907121
1465,270424.944079486
1466,179691.404168902
1467,189180.981449773
1468,321795.029729941
1469,271457.915623272
1470,184250.176642601
1471,1419139.42692186
1472,165220.7874249
1473,242763.529948382
1474,450204.000846982
